,extractor,reliable_positive_threshold,classifier,detector,balanced_accuracy,accuracy,f1
154,clip-ViT-B-16,6.307692,kneighbours,k-means,0.5031554218945806,0.5493743758444457,0.6589807803446794
155,clip-ViT-B-16,6.307692,kneighbours,knn,0.6042536231278608,0.6623587695079206,0.7574721858868868
156,clip-ViT-B-16,6.307692,qda,k-means,0.4859246720872079,0.49519277839785386,0.5883235923477372
157,clip-ViT-B-16,6.307692,qda,knn,0.5709170625620223,0.6341420431181343,0.736859895217171
158,clip-ViT-B-16,6.307692,naivebayes,k-means,0.5003234294520784,0.48814349213808766,0.5666732975266892
159,clip-ViT-B-16,6.307692,naivebayes,knn,0.6126112970096451,0.6131312537938867,0.692627222801313
160,clip-ViT-B-16,6.574194,logistic,k-means,0.5743602095992337,0.6109381425130705,0.7071153761110864
161,clip-ViT-B-16,6.574194,logistic,knn,0.6911331158013979,0.6949617184593393,0.7652642999216442
162,clip-ViT-B-16,6.574194,kneighbours,k-means,0.5139868130742766,0.5488652607256849,0.6526975895804754
163,clip-ViT-B-16,6.574194,kneighbours,knn,0.5917597139533883,0.63085237619691,0.7248606205668583
164,clip-ViT-B-16,6.574194,qda,k-means,0.4635598148634146,0.505316336720907,0.617754308453496
165,clip-ViT-B-16,6.574194,qda,knn,0.5631276859972977,0.6147369245530556,0.7166006481814908
166,clip-ViT-B-16,6.574194,naivebayes,k-means,0.5593891309652659,0.5666059644794298,0.6538960734335173
167,clip-ViT-B-16,6.574194,naivebayes,knn,0.6022325170868774,0.5954688754430281,0.6729566717852111
168,clip-ViT-B-16,7.069421,logistic,k-means,0.5528378921279797,0.6117018151912119,0.717061895385669
169,clip-ViT-B-16,7.069421,logistic,knn,0.681895670599737,0.6637098827077091,0.7295007087730352
170,clip-ViT-B-16,7.069421,kneighbours,k-means,0.5043230897079733,0.5595175155182205,0.6720797679266461
171,clip-ViT-B-16,7.069421,kneighbours,knn,0.574423701620982,0.5842683428302884,0.6713009552414423
172,clip-ViT-B-16,7.069421,qda,k-means,0.5017965246308014,0.5328868785368814,0.6364398384515736
173,clip-ViT-B-16,7.069421,qda,knn,0.5506202652467747,0.5354520354814075,0.6113368283093052
