,extractor,quantile,prior,balanced_accuracy,accuracy,f1
140,clip-ViT-B-32,5.865385,0.6,0.7209161011345555,0.7674518788306017,0.8354987949137048
141,clip-ViT-B-32,5.865385,0.7,0.6415361859786484,0.771152754116979,0.8549802082170023
142,clip-ViT-B-32,5.865385,0.8,0.5874836824135162,0.7532162368560184,0.8496402963528555
143,clip-ViT-B-32,5.865385,0.9,0.51513158505689,0.7184005952730619,0.8343756118347556
144,clip-ViT-B-16,5.865385,0.1,0.5000137881587293,0.2899410601343281,5.515111405250386e-05
145,clip-ViT-B-16,5.865385,0.2,0.5247367660207648,0.3253637235896532,0.0956030975193595
146,clip-ViT-B-16,5.865385,0.3,0.5843698680526291,0.41365603399322487,0.3013206402538616
147,clip-ViT-B-16,5.865385,0.4,0.6960945108380906,0.5971528716050833,0.6188703014135127
148,clip-ViT-B-16,5.865385,0.5,0.7408753409309894,0.7011298439366348,0.7543574474933613
149,clip-ViT-B-16,5.865385,0.6,0.7400944316218314,0.763359376529793,0.8268053943276438
150,clip-ViT-B-16,5.865385,0.7,0.6649293049644163,0.7795727349272553,0.8579934654539491
151,clip-ViT-B-16,5.865385,0.8,0.5605794385143649,0.7416828212810119,0.8450005874750324
152,clip-ViT-B-16,5.865385,0.9,0.5056368043508404,0.7132311186825667,0.8319583252056774
153,clip-ViT-L-14,5.865385,0.1,0.5002481868571271,0.2902739430965948,0.0009922548992585649
154,clip-ViT-L-14,5.865385,0.2,0.5231972854115965,0.32309228690595077,0.0896426408237432
155,clip-ViT-L-14,5.865385,0.3,0.6156910870447634,0.46182615676829386,0.39698977576901134
156,clip-ViT-L-14,5.865385,0.4,0.671992870842121,0.5523115784526816,0.5511866669284073
157,clip-ViT-L-14,5.865385,0.5,0.742862146063525,0.745070394955844,0.8064866150393151
158,clip-ViT-L-14,5.865385,0.6,0.7344839594320223,0.7713681489749162,0.8362687906663676
159,clip-ViT-L-14,5.865385,0.7,0.6189783867268714,0.7650825353932914,0.8538893422158351
160,clip-ViT-L-14,5.865385,0.8,0.6152619648279287,0.765650394564217,0.8550211992731678
161,clip-ViT-L-14,5.865385,0.9,0.5071964224140383,0.7141122794650375,0.8323804275447176
162,clip-ViT-B-32,5.987416,0.1,0.500096517111105,0.2900585482386575,0.0003859939343810311
163,clip-ViT-B-32,5.987416,0.2,0.5248946295425339,0.32555953709686897,0.09605542870640107
